Molecule ChEMBL ID,Standard Type,Standard_Value,Standard Units,canon_smiles
CHEMBL374270,EC50,3000.0,nM,CCCCCC1(OC)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL221750,EC50,820.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4cccnc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL217223,IC50,4000.0,nM,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1cc(Cc2ccccc2)c(O)c(O)c1O
CHEMBL2170845,Ki,218.0,nM,Cc1c(C(=O)NCCCN2CCN(C)CC2)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5cccc(S(=O)(=O)C6CC6)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C
CHEMBL2170835,IC50,10.2,nM,Cc1c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(NC(CCN6CCC(O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C
CHEMBL2170842,IC50,153.0,nM,Cc1c(C(=O)NCCCN2CCN(C)CC2)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5cccc(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C
CHEMBL2326746,Kd,3.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ncnc3c2CCN(C2CCN(Cc4cc(F)ccc4-c4ccc(Cl)cc4)CC2)C3)cc1S(=O)(=O)C(F)(F)F
CHEMBL2326744,IC50,25.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2nnc3n2CCN(C2CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC2)CC3)cc1S(=O)(=O)C(F)(F)F
CHEMBL439092,AC3,1.0,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5CC(OC6CCC(OC7CC(O)C(OC8CCC(O)C(C)O8)C(C)O7)C(C)O6)C(OC(C)=O)C(C)O5)C(C)CC(C)C4C3(C)C(=O)C3=C(OC)C4(CC(C=O)=CC(O)C4C=C2C)OC3=O)CC1(C)[N+](=O)[O-]
CHEMBL376408,Ki,1.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL384218,EC50,390.0,nM,COc1ccc(-c2ccccc2CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)cc1
CHEMBL266944,EC50,530.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(S(C)(=O)=O)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL384218,EC50,25.0,nM,COc1ccc(-c2ccccc2CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN(C)C)CSc5ccccc5)c([N+](=O)[O-])c4)cc3)CC2)cc1
CHEMBL222069,EC50,3600.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(C(F)(F)F)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL374214,EC50,1180.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL374214,Ki,2.1,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL221855,Ki,1.0,nM,CSc1ccccc1CN1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL375299,EC50,460.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4N4CCOCC4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL385119,EC50,950.0,nM,COc1ccccc1CN1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL387141,EC50,2200.0,nM,CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(C)(C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL4073167,Ki,260.0,nM,O=C(NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc12
CHEMBL2374449,Ki,254000.0,nM,CCSCCCCC(c1ccc(O)cc1)C(C)(CC)c1ccc(O)cc1
CHEMBL448237,Ki,1300.0,nM,CN(C)CCNC(=O)C1C(CO)C2Cn3c(cccc3=O)C1N2c1nc(-c2ccc(Cl)cc2)c(-c2ccccc2)s1
CHEMBL4250906,Ki,450.0,nM,Cc1ccc(CC(=O)NC(Cc2ccc(OCc3ccccc3)cc2)C(=O)NS(=O)(=O)c2ccc(NCCCc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL3311480,IC50,18.0,nM,O=C(NS(=O)(=O)c1ccc(NC(CCN2CCOCC2)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1cnc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)nc1
CHEMBL3311490,IC50,10.0,nM,N#CC1(Cc2ccccc2-c2ccc(Cl)cc2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN4CCOCC4)CSc4ccccc4)c(S(=O)(=O)C(F)(F)F)c3)cc2)CC1
CHEMBL3309313,IC50,22.0,nM,CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC(CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)c1
CHEMBL3629844,Ki,10000.0,nM,Cc1cccc(N2C(=O)C(=Cc3ccc(OCc4ccc(C(=O)O)cc4)cc3)SC2=S)c1
CHEMBL3601398,IC50,50000.0,nM,COc1cc2c(cc1OC(C)C)C(c1ccc(Cl)cc1)N(c1ccc(N(C)CC3CCC(N4CCN(C)C(=O)C4)CC3)cc1)C(=O)C2
CHEMBL201947,Ki,58.8,nM,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NC(CCCCN(C)C)CSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL202798,Ki,116.0,nM,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NC(CCN(C)C)CSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL380502,Ki,92.1,nM,CN(C)CCCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL379895,Ki,1260.0,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL202540,Ki,2880.0,nM,CC(C)(C)OC(=O)N1CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1
CHEMBL372834,Ki,1980.0,nM,COc1cc(C(=O)N(C)C)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NCCSc3ccccc3)c([N+](=O)[O-])c2)cc1
CHEMBL4099249,Ki,10000.0,nM,COc1ccc(S(=O)(=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)Cc2c(C)n(-c3ccc(-c4ccccc4)cc3)c3ccc(OC)cc23)cc1
CHEMBL4082955,Ki,10000.0,nM,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(N3CCOCC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(-c2ccccc2)cc1
CHEMBL4061153,Ki,10000.0,nM,COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c1ccc(N3CCN(C)CC3)c([N+](=O)[O-])c1)c(C)n2-c1ccc(C)cc1
CHEMBL727,GI50,147000.0,nM,Nc1nc2[nH]cnc2c(=S)[nH]1
CHEMBL3265299,Ki,7560.0,nM,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1O
CHEMBL1689146,IC50,84.0,nM,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc4c(NS(=O)(=O)c5ccc(NC(CCN6CCOCC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)ncnc4c3)CC2)C1
CHEMBL3950997,IC50,3.0,nM,CCN(CCO)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C(N)c4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1S(=O)(=O)C(F)(F)F
CHEMBL503783,IC50,6100.0,nM,Cc1cccc(-n2nc(C(=O)N(c3ccccc3)c3ccccc3)cc2C)c1C(=O)N1Cc2ccccc2CC1CO
CHEMBL3628076,Ki,10000.0,nM,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4ccc(Cl)cc4)C3=O)cc2)cc1
CHEMBL3922113,IC50,0.4,nM,O=C(NS(=O)(=O)c1ccc(NC(CCN2CCOCC2CO)CSc2ccccc2)c(S(=O)(=O)C(F)(F)F)c1)c1ccc(N2CCC(C(O)c3ccccc3-c3ccc(Cl)cc3)CC2)cc1
CHEMBL441321,IC50,8360.0,nM,CCC(C)C(NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CCCN=C(N)N)NC(=O)CNC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)CN)C(C)C)C(=O)NC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(CCCN=C(N)N)C(=O)O)C(C)CC)C(C)CC
