Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL3675210,510.0,nM,IC50,O=C1c2cccc(Cl)c2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,6.292429823902063
CHEMBL3291218,970.0,nM,IC50,Cc1[nH]c(-c2ccccc2)c(-c2ccccc2)c1-c1ccnn1-c1ccccc1,6.013228265733755
CHEMBL3691743,0.13,nM,IC50,COc1nc(N(C)C)ncc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)c[nH]c1=O)C2=O,9.886056647693163
CHEMBL3657045,6.6,nM,IC50,CC(C)n1c(-c2ccnc(N)c2)nc2c1C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,8.18045606445813
CHEMBL3687227,11.3,nM,IC50,Cc1cc(Cl)ccc1C1c2c(nn(Cc3cccnc3)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,7.94692155651658
CHEMBL3653290,1.62,nM,IC50,CCOC(=O)Cc1cnc(OC)c(-c2nc3c(n2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)ccc2C)C3=O)c1,8.790484985457368
CHEMBL3657074,0.18,nM,IC50,COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,9.744727494896694
CHEMBL3683137,12.3,nM,IC50,CCC(C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(N(C)CC3CCN(C(=O)N(C)C)CC3)cc1)C2c1ccc(Cl)cc1,7.910094888560602
CHEMBL3683120,81.8,nM,IC50,CC(C)Nc1ccc2c(c1)C(c1ccc(Cl)cc1)N(c1ccc(N(C)Cc3ccncc3)cc1)C(=O)C2,7.087246696328677
CHEMBL3691703,0.701,nM,IC50,COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(F)c1)C2=O,9.154281982033341
CHEMBL3657099,10.19,nM,IC50,COc1nc(=O)[nH]cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,7.991825815993574
CHEMBL3683171,2.0,nM,IC50,COc1cc2c(cc1OC(C)C)C(c1ccc(Cl)cc1)N(c1ccc(N(C)CC3CCC(N4CCNC(=O)C4)CC3)cc1OC)C(=O)C2,8.698970004336019
